#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	COG(s)	Protein name
chr	NC_002942.5	2327599	2330328	-	19833645	traG	lpg2079	YP_096092.1	909	-	hypothetical protein lpg2079
chr	NC_002942.5	2330325	2331710	-	19833646	traH	lpg2080	YP_096093.1	461	-	hypothetical protein lpg2080
chr	NC_002942.5	2331707	2332129	-	19833647	traF	lpg2081	YP_096094.1	140	-	sex pilus assembly TraF, thiol-disulfide isomerase and thioredoxins
chr	NC_002942.5	2332119	2332901	-	19833648	traF	lpg2082	YP_096095.1	260	-	pilus assembly protein TraF
chr	NC_002942.5	2332894	2334705	-	19833649	traN	lpg2083	YP_096096.1	603	-	conjugal transfer protein TraN
chr	NC_002942.5	2334705	2335376	-	19833650	-	lpg2084	YP_096097.1	223	-	conjugative transfer protein TrbC
chr	NC_002942.5	2335389	2336384	-	19833651	traU	lpg2085	YP_096098.1	331	-	hypothetical protein lpg2085
chr	NC_002942.5	2336381	2336989	-	19833652	-	lpg2086	YP_096099.1	202	-	hypothetical protein lpg2086
chr	NC_002942.5	2337314	2339911	-	19833653	traC	lpg2087	YP_096100.1	865	-	hypothetical protein lpg2087
chr	NC_002942.5	2339878	2340228	-	19833654	traV	lpg2088	YP_096101.1	116	-	conjugative transfer: assembly
chr	NC_002942.5	2340242	2341561	-	19833655	-	lpg2089	YP_096102.1	439	-	conjugative transfer protein TraB
chr	NC_002942.5	2341530	2342243	-	19833656	-	lpg2090	YP_096103.1	237	-	conjugative transfer protein TraK
chr	NC_002942.5	2342246	2342809	-	19833657	-	lpg2091	YP_096104.1	187	-	conjugative transfer protein TraE
chr	NC_002942.5	2342813	2343106	-	19833658	-	lpg2092	YP_096105.1	97	-	sex pilus assembly protein-like
chr	NC_002942.5	2343108	2343410	-	19833659	-	lpg2093	YP_096106.1	100	-	fimbrial protein -like
chr	NC_002942.5	2343425	2343661	-	19833660	csrA	lpg2094	YP_096107.1	78	-	carbon storage regulator RsmA
chr	NC_002942.5	2344000	2344884	-	19833661	lvrA	lpg2095	YP_096108.1	294	-	protein LvrA
chr	NC_002942.5	2345033	2345737	+	19833662	-	lpg2096	YP_096109.1	234	-	prophage repressor CI-like
chr	NC_002942.5	2345877	2346560	+	19833663	-	lpg2097	YP_096110.1	227	-	hypothetical protein lpg2097
chr	NC_002942.5	2347009	2347581	+	19833664	-	lpg2098	YP_096111.1	190	-	MsrA3 - peptide methionine sulfoxide reductase
chr	NC_002942.5	2347541	2348062	+	19833665	-	lpg2099	YP_096112.1	173	-	methionine sulfoxide reductase B
